customer_id,full_name,birth_date,gender,email,join_date,last_purchase,total_spent,membership_tier,discount_used,product_rating,address,phone_number,loyalty_points,purchase_frequency
CUST10000,Susan Chen,1968-09-22,U,michelle29@example.com,2021-09-13,2024-04-19,625.3,,No,2,"9690 John Spurs Apt. 752, Walterton, AZ 76832",+1-989-849-8686x9866,3309,Monthly
CUST10001,Bryan Horn,1974-06-25,Female,jessicafuller@example.com,2021-01-28,2024-05-30,528.01,gold,True,5 stars,"52018 Hubbard Islands, Archerchester, ND 19523",721.294.7898x226,1771,
CUST10002,LAUREN HARDY,1992-11-14,m,littlemichael@example.com,2020-06-08,2025-02-18,302.17,Gold,True,3,"06170 Mary Parkways, Tammybury, SC 62336",001-210-269-7386x698,2040,Monthly
CUST10003,AMY CERVANTES,1949-05-09,U,aross@example.net,2022-11-10,2024-08-23,501.2,Bronze,1,5 stars,"780 Gilbert Centers Suite 823, West Kelly, MO 77357",901.424.8464x0519,2759,weekly
CUST10004,Amanda Taylor,1950-03-29,Male,smithjoshua@example.net,2021-08-10,2024-05-31,285.68,GOLD,0,nan,"888 Taylor Pass, Garrettchester, DE 25596",(730)316-0114,2120,weekly
CUST10005,Claudia Weaver,1963-02-14,nan,michealchapman@example.com,06/02/2024,2025-01-22,265.89,bronze,0,1,"16891 young fork, lake pamelafurt, ca 64199",+1-809-517-5163x119,2543,
CUST10006,Sandra Calderon,1954-05-28,m,matthew82@example.com,2025-01-10,2025-03-31,399.15,,Y,3,"09478 Fields Cliffs Suite 202, West Bethfurt, NY 10938",,4190 points,Monthly
CUST10007,Christopher Gutierrez,1967-01-11,m,elizabeth58@example.com,2022-07-03,2024-06-25,464.17,Bronze,False,2,"36277 Evelyn Parks Suite 834, Caitlinshire, TX 04770",001-393-724-8231,4155,weekly
CUST10008,Kyle White,1944-12-08,U,jamie23@example.com,2020-11-18,2024-05-11,510.57,gold,True,3,"3552 Garcia Viaduct, Joshuahaven, PR 83893",+1-387-772-9810x941,1458,Weekly
CUST10009,Daniel Harrison,1976-08-18,F,ubrock@example.net,2022-01-25,2024-07-25,774.91,gold,N,2,"231 Baxter Grove, Markfurt, AL 80804",5423673311,3879,Daily
CUST10010,Mary Williams,1976-02-19,Male,lhunter@example.net,2023-08-04,,350.46,Silver,False,3,"457 Amanda Ville Suite 849, Ramosfort, MP 14464",513.439.9867,1478 points,Yearly
CUST10011,Jim Webster,1950-11-14,U,kathy27@example.org,2021-12-21,2025-03-20,23277.31926,Silver,N,4,"PSC 8436, Box 6244, APO AE 52998",001-317-545-5361,24,Weekly
CUST10012,Jacqueline Ford,2000-02-22,Male,wongshawn@example.com,2025-02-23,2024-05-05,535.41,Bronze,0,N/A,"48455 Roth Plains Apt. 901, Lisaville, AL 46492",3047871743,2756,Yearly
